title,publishedAt,category,views,likes,comments,duration,tags,country
A MAN'S GREATEST WEAPON. 🔱,2022-11-04T14:00:05Z,27,408449,21577,457,PT8M25S,"['dre drexler', 'a mans greatest weapon', 'reject weakness', 'reject weakness embrace masculinity', 'reject weakness embrace strength', 'reject weakness embrace discipline', 'embrace masculinity reject weakness', 'embrace masculinity', 'masculinity', 'masculine', 'Self improvement']",US
Straight to Wavy Hair without using any Products | Men’s styling Tutorial,2016-10-31T00:36:17Z,26,2122896,28676,1280,PT1M57S,"['dre drexler', 'dre', 'drexler', 'slikhaartv', 'wavy hair', 'wavy', 'straight', 'straight to wavy', 'mens hair', 'mens hairstyle', 'mens hairstyles', 'hairstyles', 'hair', 'style', 'mens', 'fashion', 'mens fashion', 'clothing', 'luca fersko', 'tim bryan', 'blumaan', 'anthony deluca', 'anthony delucv', 'ootd', 'mariano di vaio', 'tutorial', 'how to', 'natural', 'undercut', 'fade', 'taper', 'make up', 'beauty', 'healthy', 'healthier', 'without', 'products', 'jairwoo', 'jarl andersen', 'medium hair', 'long hair', 'medium', 'long', 'hanz de fuko', 'no heat']",US
NEVER Cast Your Pearls Upon Swine (Insane Advice),2023-11-28T15:00:02Z,27,9673,743,13,PT43S,"['dre drexler', 'self improvement', 'how to be successful', 'success', 'mindset motivation', 'advice', 'life advice', 'masculine advice', 'andrew tate advice']",US
Women Will TEST You,2023-12-07T15:00:12Z,27,8391,777,17,PT51S,"['dre drexler', 'self improvement', 'women will test you', 'red pill', 'relationships', 'dating advice', 'dating', 'dating women']",US
Humans Are Becoming Socially Incompetent.,2023-05-24T16:06:58Z,22,31526,3001,46,PT50S,"['Social skills', 'Social interactions', 'How to make friends', 'Cole Hastings', 'Make friends', 'Why you can’t talk to anyone', 'Social skills', 'Social interactions', 'How to make friends', 'Cole Hastings', 'Make friends', 'Why you can’t talk to anyone']",US
Where Your Insecurities REALLY Come From,2023-07-07T16:00:04Z,22,29912,4062,54,PT58S,[],US
Stop Needing An Explanation For Everything,2021-12-13T16:15:00Z,22,34246,2735,182,PT10M39S,"['cole hastings', 'stop searching for the answers', 'searching for the answer', 'why is this happening to me', 'why keep living', 'why go on', 'why should i go on', 'self improvement', 'life advice', 'why am i going through this', 'self confidence', 'searching for the answers', 'stop searching for love', 'stop searching for your passion', 'dont look for the answers', 'wu wei', 'wu wei wisdom', 'wu wei philosphy', 'cole hastings breakup', 'cole hastings workout', 'cole hastings meditation', 'spirituality']",US
How I Learned to Master My Emotions,2021-04-19T17:00:09Z,22,36186,2842,222,PT10M2S,"['cole hastings', 'emotional intelligence', 'how to master your emotions', 'emotional control', 'develop emotional intelligence', 'develop emotional maturity', 'develop emotional control', 'emotional control techniques', 'emotion', 'emotional', 'learning to master your emotions', 'master your emotions', 'mastering emotions', 'mastering emotional intelligence', 'emotions', 'how to be less emotional', 'how to be less emotional as a man', 'how to have emotional intelligence', 'how to have emotional control']",US
The ONLY Productivity Advice That Worked For Me,2023-03-27T16:00:41Z,22,56508,7308,70,PT58S,"['cole', 'hastings']",US
Why I Love Being A Loser,2023-03-16T16:00:36Z,22,52420,6127,107,PT59S,"['cole', 'hastings', 'why you should be a loser', 'be a loser philsophy', 'be a loser if need be', 'loser', 'how to stop being a loser', 'why am i such a loser', 'cole hastings']",US
Can Women Tell When A Guy Is On NoFap?,2023-06-08T15:00:42Z,22,332158,7920,548,PT50S,"['cole hastings', 'nofap', 'nofap women attraction', 'female attraction', 'nofap female attraction', 'can women tell when youre on nofap', 'no fap', 'nofap benefits']",US
How To Follow Your Own Path In Life,2023-06-21T15:00:00Z,22,28045,3948,60,PT56S,"['cole hastings', 'the matrix', 'matrix red pill', 'how to self improve', 'how to improve yourself', 'self improvement', 'hamza', 'self help', 'personal development']",US
Traditional Masculinity Needs An Upgrade.,2023-05-05T16:00:13Z,22,42971,3445,191,PT59S,"['Masculinity', 'Red pill', 'Traditional masculinity', 'The masculinity crisis']",US
Let People Dislike You | #shorts,2023-02-23T17:03:29Z,22,24153,2862,32,PT29S,[],US
You Have To Fall In Love With THIS To See Success | #shorts,2023-02-10T16:59:32Z,22,47452,5668,50,PT24S,[],US
Why Is Nostalgia So Painful?,2021-02-22T18:00:19Z,22,109006,6381,1047,PT3M59S,"['cole hastings', 'nostalgia', 'why is nostalgia so painful', 'why is nostalgia so powerful', 'the power of nostalgia', 'nostalgic music', 'nostalgia is bad', 'nostalgia is painful', 'why life seems so empty', 'i miss those days', 'i miss those times', 'missing nostalgia', 'nostalgic', 'cole hastings nofap', 'missing the old days', 'miss the old days', 'the old days', 'why did life seem better before', 'nostalgia pain', 'the pain of nostalgia', 'the power of nostalgic music', 'feelings of nostalgia']",US
Why do anything if we all die?,2021-04-25T17:00:03Z,22,160769,9352,1264,PT5M48S,"['cole hastings', 'why do anything if we all die', 'why do anything', 'why do anything at all', 'why do anything if we are going to die', 'why do anything if nothing matters', 'nothing matters', 'nihilism', 'nihilistic', 'nihilistic optimism', 'optimistic nihilism', 'why', 'do', 'anything', 'if', 'we', 'all', 'die', 'nihilism philosophy', 'nihilistic philosophy', 'why should i do anything', 'if we all die tomorrow', 'nothing really matters', 'nothing really matters in life', 'nothing matters in life', 'nothing matters in the end']",US
I Learned Japanese in 30 Days to Watch Anime Without Subtitles,2021-08-11T15:00:19Z,22,1712709,79078,3255,PT9M54S,"['cole hastings', 'i learned japanese', 'learning japanese', 'watching anime', 'watching anime without subtitles', 'how to learn japanese', 'i learned japanese in 30 days', 'i learned japanese in a month', 'cole hastings anime', 'anime without subtitles', 'anime', 'learned japanese', 'learn japanese', 'japanese', 'japanese anime', 'how do i learn japanese', 'learning japanese for beginners', 'anime subbed', 'subbed anime', 'weeb anime', 'weeb']",US
How to live a miserable life full of regrets,2022-04-05T16:00:30Z,22,353900,23299,1086,PT10M42S,"['cole hastings', 'i regret my life', 'i regret my life choices', 'i regret having kids', 'regret', 'how to live a miserable life', 'how to be miserable', 'my life is miserable', 'i cant stop regret', 'why do i regret things', 'how to be happy in life', 'live without regret', 'how to live without regret', 'how to avoid regret', 'avoid regret', 'how to avoid regrets in life', 'how to avoid regretting the past', 'i regret the past', 'stuck in the past', 'cant get over the past']",US
"You don't fit in, so stop trying to.",2021-08-27T15:00:04Z,22,183668,12929,725,PT9M36S,"['cole hastings', 'stop trying to fit in motivation', 'stop trying to fit in', 'you dont fit in stop trying', 'why you dont fit in', 'not fitting in', 'i dont fit in', 'i dont fit in anywhere', 'i feel like i dont fit in anywhere', 'fit in', 'fitting in', 'why you dont fit in and have 0 friends', 'dont fit in', 'why fitting in is bad', 'fitting in is overrated', 'fitting in is bad', 'dont try to fit in', 'fit', 'in', 'fitting', 'stop', 'trying', 'to', 'why dont i fit in anywhere', 'why dont i fit in with anyone', 'why dont i fit in']",US
Why Your Life Feels So Dull And Empty,2021-12-08T16:00:29Z,22,434793,28785,1396,PT11M46S,"['cole hastings', 'life feels meaningless', 'life feels empty', 'life feels dull and boring', 'life feels boring', 'how to make life less boring', 'my life sucks', 'i hate my life', 'what to do if you hate your life', 'why does life feel meaningless', 'why does life feel so boring', 'why does life feel empty', 'life is so hard', 'life is so unfair', 'life is so boring', 'how to make life enjoyable', 'life', 'life is dull and meaningless', 'my life is dull', 'my life feels meaningless', 'why your life is so boring']",US
I Quit Caffeine For 6 Months (and i'm never going back),2020-12-07T18:00:13Z,22,677494,23928,3492,PT8M1S,"['i quit caffeine', 'cole hastings', 'matt davella coffee', 'quitting caffeine changed my life', 'quitting caffeine benefits', 'quitting caffeine cold turkey', 'quit caffeine cold turkey', 'quit caffeine', 'why i quit caffeine', 'caffeine', 'coffee', 'quitting coffee', 'i quit coffee', 'i quit caffeine for 6 months', 'caffeine quitting', 'caffeine quit benefits', 'quit caffeine for 30 days', 'quitting caffeine', 'quitting caffeine effects', 'quitting caffeine results', 'quit coffee', 'caffeine addiction']",US
